start_entity,label,end_entity,label,relationship
DE_FAULT,fault,FAULT,fault,belongsto
FE_FAULT,fault,FAULT,fault,belongsto
DE_BO,fault,DE_FAULT,fault,belongsto
DE_IR,fault,DE_FAULT,fault,belongsto
DE_OR,fault,DE_FAULT,fault,belongsto
FE_IR,fault,FE_FAULT,fault,belongsto
FE_OR,fault,FE_FAULT,fault,belongsto
DE_BO_size7,fault,DE_BO,fault,belongsto
DE_BO_size14,fault,DE_BO,fault,belongsto
DE_BO_size21,fault,DE_BO,fault,belongsto
DE_IR_size7,fault,DE_IR,fault,belongsto
DE_IR_size14,fault,DE_IR,fault,belongsto
DE_IR_size21,fault,DE_IR,fault,belongsto
DE_OR_size7_clock3,fault,DE_OR_size7,fault,belongsto
DE_OR_size7_clock6,fault,DE_OR_size7,fault,belongsto
DE_OR_size7_clock12,fault,DE_OR_size7,fault,belongsto
DE_OR_size14_clock6,fault,DE_OR_size14,fault,belongsto
DE_OR_size21_clock3,fault,DE_OR_size21,fault,belongsto
DE_OR_size21_clock6,fault,DE_OR_size21,fault,belongsto
DE_OR_size21_clock12,fault,DE_OR_size21,fault,belongsto
DE_OR_size7,fault,DE_OR,fault,belongsto
DE_OR_size14,fault,DE_OR,fault,belongsto
DE_OR_size21,fault,DE_OR,fault,belongsto
FE_IR_size7,fault,FE_IR,fault,belongsto
FE_IR_size14,fault,FE_IR,fault,belongsto
FE_IR_size21,fault,FE_IR,fault,belongsto
FE_OR_size7_clock3,fault,FE_OR_size7,fault,belongsto
FE_OR_size7_clock6,fault,FE_OR_size7,fault,belongsto
FE_OR_size7_clock12,fault,FE_OR_size7,fault,belongsto
FE_OR_size14_clock3,fault,FE_OR_size14,fault,belongsto
FE_OR_size14_clock6,fault,FE_OR_size14,fault,belongsto
FE_OR_size14_clock12,fault,FE_OR_size14,fault,belongsto
FE_OR_size21_clock3,fault,FE_OR_size21,fault,belongsto
FE_OR_size21_clock6,fault,FE_OR_size21,fault,belongsto
FE_OR_size21_clock12,fault,FE_OR_size21,fault,belongsto
FE_OR_size7,fault,FE_OR,fault,belongsto
FE_OR_size14,fault,FE_OR,fault,belongsto
FE_OR_size21,fault,FE_OR,fault,belongsto
,,,,
DE_BO_size7_load0,feature,DE_BO_size7,fault,belongsto
DE_BO_size7_load1,feature,DE_BO_size7,fault,belongsto
DE_BO_size7_load2,feature,DE_BO_size7,fault,belongsto
DE_BO_size7_load3,feature,DE_BO_size7,fault,belongsto
DE_BO_size14_load0,feature,DE_BO_size14,fault,belongsto
DE_BO_size14_load1,feature,DE_BO_size14,fault,belongsto
