name,type,describe
风扇端_滚动体_深度7,fault_level_3,风扇端_滚动体_深度7
风扇端_滚动体_深度14,fault_level_3,风扇端_滚动体_深度14
风扇端_滚动体_深度21,fault_level_3,风扇端_滚动体_深度21
风扇端_内圈_深度7,fault_level_3,风扇端_内圈_深度7
风扇端_内圈_深度14,fault_level_3,风扇端_内圈_深度14
风扇端_内圈_深度21,fault_level_3,风扇端_内圈_深度21
风扇端_外圈_深度7,fault_level_3,风扇端_外圈_深度7
风扇端_外圈_深度14,fault_level_3,风扇端_外圈_深度14
风扇端_外圈_深度21,fault_level_3,风扇端_外圈_深度21
驱动端_滚动体_深度7,fault_level_3,驱动端_滚动体_深度7
驱动端_滚动体_深度14,fault_level_3,驱动端_滚动体_深度14
驱动端_滚动体_深度21,fault_level_3,驱动端_滚动体_深度21
驱动端_内圈_深度7,fault_level_3,驱动端_内圈_深度7
驱动端_内圈_深度14,fault_level_3,驱动端_内圈_深度14
驱动端_内圈_深度21,fault_level_3,驱动端_内圈_深度21
驱动端_外圈_深度7,fault_level_3,驱动端_外圈_深度7
驱动端_外圈_深度14,fault_level_3,驱动端_外圈_深度14
驱动端_外圈_深度21,fault_level_3,驱动端_外圈_深度21
