start_entity,label,end_entity,label,relationship
FE,fault,FAULT,fault,belongsto
FE_BO,fault,FE,fault,belongsto
FE_BO_size7,fault,FE_BO,fault,belongsto
FE_BO_size7_load0,fault,FE_BO_size7,fault,belongsto
FE_BO_size7_load0_clock3,feature,FE_BO_size7_load0,fault,belongsto
FE_BO_size7_load0_clock6,feature,FE_BO_size7_load0,fault,belongsto
FE_BO_size7_load0_clock12,feature,FE_BO_size7_load0,fault,belongsto
FE_BO_size7_load1,fault,FE_BO_size7,fault,belongsto
FE_BO_size7_load1_clock3,feature,FE_BO_size7_load1,fault,belongsto
FE_BO_size7_load1_clock6,feature,FE_BO_size7_load1,fault,belongsto
FE_BO_size7_load1_clock12,feature,FE_BO_size7_load1,fault,belongsto
FE_BO_size7_load2,fault,FE_BO_size7,fault,belongsto
FE_BO_size7_load2_clock3,feature,FE_BO_size7_load2,fault,belongsto
FE_BO_size7_load2_clock6,feature,FE_BO_size7_load2,fault,belongsto
FE_BO_size7_load2_clock12,feature,FE_BO_size7_load2,fault,belongsto
FE_BO_size7_load3,fault,FE_BO_size7,fault,belongsto
FE_BO_size7_load3_clock3,feature,FE_BO_size7_load3,fault,belongsto
FE_BO_size7_load3_clock6,feature,FE_BO_size7_load3,fault,belongsto
FE_BO_size7_load3_clock12,feature,FE_BO_size7_load3,fault,belongsto
FE_BO_size14,fault,FE_BO,fault,belongsto
FE_BO_size14_load0,fault,FE_BO_size14,fault,belongsto
FE_BO_size14_load0_clock3,feature,FE_BO_size14_load0,fault,belongsto
FE_BO_size14_load0_clock6,feature,FE_BO_size14_load0,fault,belongsto
FE_BO_size14_load0_clock12,feature,FE_BO_size14_load0,fault,belongsto
FE_BO_size14_load1,fault,FE_BO_size14,fault,belongsto
FE_BO_size14_load1_clock3,feature,FE_BO_size14_load1,fault,belongsto
FE_BO_size14_load1_clock6,feature,FE_BO_size14_load1,fault,belongsto
FE_BO_size14_load1_clock12,feature,FE_BO_size14_load1,fault,belongsto
FE_BO_size14_load2,fault,FE_BO_size14,fault,belongsto
FE_BO_size14_load2_clock3,feature,FE_BO_size14_load2,fault,belongsto
FE_BO_size14_load2_clock6,feature,FE_BO_size14_load2,fault,belongsto
FE_BO_size14_load2_clock12,feature,FE_BO_size14_load2,fault,belongsto
FE_BO_size14_load3,fault,FE_BO_size14,fault,belongsto
FE_BO_size14_load3_clock3,feature,FE_BO_size14_load3,fault,belongsto
FE_BO_size14_load3_clock6,feature,FE_BO_size14_load3,fault,belongsto
FE_BO_size14_load3_clock12,feature,FE_BO_size14_load3,fault,belongsto
FE_BO_size21,fault,FE_BO,fault,belongsto
FE_BO_size21_load0,fault,FE_BO_size21,fault,belongsto
FE_BO_size21_load0_clock3,feature,FE_BO_size21_load0,fault,belongsto
FE_BO_size21_load0_clock6,feature,FE_BO_size21_load0,fault,belongsto
FE_BO_size21_load0_clock12,feature,FE_BO_size21_load0,fault,belongsto
FE_BO_size21_load1,fault,FE_BO_size21,fault,belongsto
FE_BO_size21_load1_clock3,feature,FE_BO_size21_load1,fault,belongsto
FE_BO_size21_load1_clock6,feature,FE_BO_size21_load1,fault,belongsto
FE_BO_size21_load1_clock12,feature,FE_BO_size21_load1,fault,belongsto
FE_BO_size21_load2,fault,FE_BO_size21,fault,belongsto
FE_BO_size21_load2_clock3,feature,FE_BO_size21_load2,fault,belongsto
FE_BO_size21_load2_clock6,feature,FE_BO_size21_load2,fault,belongsto
FE_BO_size21_load2_clock12,feature,FE_BO_size21_load2,fault,belongsto
FE_BO_size21_load3,fault,FE_BO_size21,fault,belongsto
FE_BO_size21_load3_clock3,feature,FE_BO_size21_load3,fault,belongsto
FE_BO_size21_load3_clock6,feature,FE_BO_size21_load3,fault,belongsto
FE_BO_size21_load3_clock12,feature,FE_BO_size21_load3,fault,belongsto
FE_IR,fault,FE,fault,belongsto
