nodeID,name,type,describe,,,,,,,,,,,BA_mean,BA_std
21111,FE_BO_size7_load0_clock3,fault_level_5,轴承风扇端滚动体轻度损伤，损伤深度为0.014英寸，,,,,,,,,,,,,
21112,FE_BO_size7_load0_clock6,fault_level_5,轴承风扇端滚动体轻度损伤，损伤深度为0.014英寸，,,,,,,,,,,,,
21113,FE_BO_size7_load0_clock12,fault_level_5,轴承风扇端滚动体轻度损伤，损伤深度为0.014英寸，,,,,,,,,,,,,
21121,FE_BO_size7_load1_clock3,fault_level_5,轴承风扇端滚动体轻度损伤，损伤深度为0.014英寸，,,,,,,,,,,,,
21122,FE_BO_size7_load1_clock6,fault_level_5,轴承风扇端滚动体轻度损伤，损伤深度为0.014英寸，,,,,,,,,,,,,
21123,FE_BO_size7_load1_clock12,fault_level_5,轴承风扇端滚动体轻度损伤，损伤深度为0.014英寸，,,,,,,,,,,,,
21131,FE_BO_size7_load2_clock3,fault_level_5,轴承风扇端滚动体轻度损伤，损伤深度为0.014英寸，,,,,,,,,,,,,
,FE_BO_size7_load2_clock6,feature,FE_BO_size7_load2_clock6,,,,,,,,,,,,
,FE_BO_size7_load2_clock12,feature,FE_BO_size7_load2_clock12,,,,,,,,,,,,
,FE_BO_size7_load3_clock3,feature,FE_BO_size7_load3_clock3,,,,,,,,,,,,
,FE_BO_size7_load3_clock6,feature,FE_BO_size7_load3_clock6,,,,,,,,,,,,
,FE_BO_size7_load3_clock12,feature,FE_BO_size7_load3_clock12,,,,,,,,,,,,
,FE_BO_size14_load0_clock3,feature,FE_BO_size14_load0_clock3,,,,,,,,,,,,
,FE_BO_size14_load0_clock6,feature,FE_BO_size14_load0_clock6,,,,,,,,,,,,
,FE_BO_size14_load0_clock12,feature,FE_BO_size14_load0_clock12,,,,,,,,,,,,
,FE_BO_size14_load1_clock3,feature,FE_BO_size14_load1_clock3,,,,,,,,,,,,
,FE_BO_size14_load1_clock6,feature,FE_BO_size14_load1_clock6,,,,,,,,,,,,
,FE_BO_size14_load1_clock12,feature,FE_BO_size14_load1_clock12,,,,,,,,,,,,
,FE_BO_size14_load2_clock3,feature,FE_BO_size14_load2_clock3,,,,,,,,,,,,
,FE_BO_size14_load2_clock6,feature,FE_BO_size14_load2_clock6,,,,,,,,,,,,
,FE_BO_size14_load2_clock12,feature,FE_BO_size14_load2_clock12,,,,,,,,,,,,
,FE_BO_size14_load3_clock3,feature,FE_BO_size14_load3_clock3,,,,,,,,,,,,
,FE_BO_size14_load3_clock6,feature,FE_BO_size14_load3_clock6,,,,1,,,,,,,,
,FE_BO_size14_load3_clock12,feature,FE_BO_size14_load3_clock12,,,,,,,,,,,,
,FE_BO_size21_load0_clock3,feature,FE_BO_size21_load0_clock3,,,,,,,,,,,,
,FE_BO_size21_load0_clock6,feature,FE_BO_size21_load0_clock6,,,,,,,,,,,,
,FE_BO_size21_load0_clock12,feature,FE_BO_size21_load0_clock12,,,,,,,,,,,,
,FE_BO_size21_load1_clock3,feature,FE_BO_size21_load1_clock3,,,,,,,,,,,,
,FE_BO_size21_load1_clock6,feature,FE_BO_size21_load1_clock6,,,,,,,,,,,,
,FE_BO_size21_load1_clock12,feature,FE_BO_size21_load1_clock12,,,,,,,,,,,,
,FE_BO_size21_load2_clock3,feature,FE_BO_size21_load2_clock3,,,,,,,,,,,,
,FE_BO_size21_load2_clock6,feature,FE_BO_size21_load2_clock6,,,,,,,,,,,,
,FE_BO_size21_load2_clock12,feature,FE_BO_size21_load2_clock12,,,,,,,,,,,,
,FE_BO_size21_load3_clock3,feature,FE_BO_size21_load3_clock3,,,,,,,,,,,,
,FE_BO_size21_load3_clock6,feature,FE_BO_size21_load3_clock6,,,,,,,,,,,,
,FE_BO_size21_load3_clock12,feature,FE_BO_size21_load3_clock12,,,,,,,,,,,,
,FE_内圈_size7_load0_clock3,feature,FE_内圈_size7_load0_clock3,,,,,,,,,,,,
,FE_内圈_size7_load0_clock6,feature,FE_内圈_size7_load0_clock6,,,,,,,,,,,,
,FE_内圈_size7_load0_clock12,feature,FE_内圈_size7_load0_clock12,,,,,,,,,,,,
,FE_内圈_size7_load1_clock3,feature,FE_内圈_size7_load1_clock3,,,,,,,,,,,,
,FE_内圈_size7_load1_clock6,feature,FE_内圈_size7_load1_clock6,,,,,,,,,,,,
,FE_内圈_size7_load1_clock12,feature,FE_内圈_size7_load1_clock12,,,,,,,,,,,,
,FE_内圈_size7_load2_clock3,feature,FE_内圈_size7_load2_clock3,,,,,,,,,,,,
,FE_内圈_size7_load2_clock6,feature,FE_内圈_size7_load2_clock6,,,,,,,,,,,,
,FE_内圈_size7_load2_clock12,feature,FE_内圈_size7_load2_clock12,,,,,,,,,,,,
,FE_内圈_size7_load3_clock3,feature,FE_内圈_size7_load3_clock3,,,,,,,,,,,,
,FE_内圈_size7_load3_clock6,feature,FE_内圈_size7_load3_clock6,,,,,,,,,,,,
,FE_内圈_size7_load3_clock12,feature,FE_内圈_size7_load3_clock12,,,,,,,,,,,,
,FE_内圈_size14_load0_clock3,feature,FE_内圈_size14_load0_clock3,,,,,,,,,,,,
,FE_内圈_size14_load0_clock6,feature,FE_内圈_size14_load0_clock6,,,,,,,,,,,,
,FE_内圈_size14_load0_clock12,feature,FE_内圈_size14_load0_clock12,,,,,,,,,,,,
,FE_内圈_size14_load1_clock3,feature,FE_内圈_size14_load1_clock3,,,,,,,,,,,,
,FE_内圈_size14_load1_clock6,feature,FE_内圈_size14_load1_clock6,,,,,,,,,,,,
,FE_内圈_size14_load1_clock12,feature,FE_内圈_size14_load1_clock12,,,,,,,,,,,,
,FE_内圈_size14_load2_clock3,feature,FE_内圈_size14_load2_clock3,,,,,,,,,,,,
,FE_内圈_size14_load2_clock6,feature,FE_内圈_size14_load2_clock6,,,,,,,,,,,,
,FE_内圈_size14_load2_clock12,feature,FE_内圈_size14_load2_clock12,,,,,,,,,,,,
,FE_内圈_size14_load3_clock3,feature,FE_内圈_size14_load3_clock3,,,,,,,,,,,,
,FE_内圈_size14_load3_clock6,feature,FE_内圈_size14_load3_clock6,,,,,,,,,,,,
,FE_内圈_size14_load3_clock12,feature,FE_内圈_size14_load3_clock12,,,,,,,,,,,,
,FE_内圈_size21_load0_clock3,feature,FE_内圈_size21_load0_clock3,,,,,,,,,,,,
,FE_内圈_size21_load0_clock6,feature,FE_内圈_size21_load0_clock6,,,,,,,,,,,,
,FE_内圈_size21_load0_clock12,feature,FE_内圈_size21_load0_clock12,,,,,,,,,,,,
,FE_内圈_size21_load1_clock3,feature,FE_内圈_size21_load1_clock3,,,,,,,,,,,,
,FE_内圈_size21_load1_clock6,feature,FE_内圈_size21_load1_clock6,,,,,,,,,,,,
,FE_内圈_size21_load1_clock12,feature,FE_内圈_size21_load1_clock12,,,,,,,,,,,,
,FE_内圈_size21_load2_clock3,feature,FE_内圈_size21_load2_clock3,,,,,,,,,,,,
,FE_内圈_size21_load2_clock6,feature,FE_内圈_size21_load2_clock6,,,,,,,,,,,,
,FE_内圈_size21_load2_clock12,feature,FE_内圈_size21_load2_clock12,,,,,,,,,,,,
,FE_内圈_size21_load3_clock3,feature,FE_内圈_size21_load3_clock3,,,,,,,,,,,,
,FE_内圈_size21_load3_clock6,feature,FE_内圈_size21_load3_clock6,,,,,,,,,,,,
,FE_内圈_size21_load3_clock12,feature,FE_内圈_size21_load3_clock12,,,,,,,,,,,,
,FE_外圈_size7_load0_clock3,feature,FE_外圈_size7_load0_clock3,,,,,,,,,,,,
,FE_外圈_size7_load0_clock6,feature,FE_外圈_size7_load0_clock6,,,,,,,,,,,,
,FE_外圈_size7_load0_clock12,feature,FE_外圈_size7_load0_clock12,,,,,,,,,,,,
,FE_外圈_size7_load1_clock3,feature,FE_外圈_size7_load1_clock3,,,,,,,,,,,,
,FE_外圈_size7_load1_clock6,feature,FE_外圈_size7_load1_clock6,,,,,,,,,,,,
,FE_外圈_size7_load1_clock12,feature,FE_外圈_size7_load1_clock12,,,,,,,,,,,,
,FE_外圈_size7_load2_clock3,feature,FE_外圈_size7_load2_clock3,,,,,,,,,,,,
,FE_外圈_size7_load2_clock6,feature,FE_外圈_size7_load2_clock6,,,,,,,,,,,,
,FE_外圈_size7_load2_clock12,feature,FE_外圈_size7_load2_clock12,,,,,,,,,,,,
,FE_外圈_size7_load3_clock3,feature,FE_外圈_size7_load3_clock3,,,,,,,,,,,,
,FE_外圈_size7_load3_clock6,feature,FE_外圈_size7_load3_clock6,,,,,,,,,,,,
,FE_外圈_size7_load3_clock12,feature,FE_外圈_size7_load3_clock12,,,,,,,,,,,,
,FE_外圈_size14_load0_clock3,feature,FE_外圈_size14_load0_clock3,,,,,,,,,,,,
,FE_外圈_size14_load0_clock6,feature,FE_外圈_size14_load0_clock6,,,,,,,,,,,,
