nodeID,name,type,describe,,,,,,,,,,,BA_mean,BA_std
21111,风扇端_滚动体_深度7_载荷0_点钟3,fault_level_5,风扇端_滚动体_深度7_载荷0_点钟3,,,,,,,,,,,,
21112,风扇端_滚动体_深度7_载荷0_点钟6,fault_level_5,风扇端_滚动体_深度7_载荷0_点钟6,,,,,,,,,,,,
21113,风扇端_滚动体_深度7_载荷0_点钟12,fault_level_5,风扇端_滚动体_深度7_载荷0_点钟12,,,,,,,,,,,,
21121,风扇端_滚动体_深度7_载荷1_点钟3,fault_level_5,风扇端_滚动体_深度7_载荷1_点钟3,,,,,,,,,,,,
21122,风扇端_滚动体_深度7_载荷1_点钟6,fault_level_5,风扇端_滚动体_深度7_载荷1_点钟6,,,,,,,,,,,,
21123,风扇端_滚动体_深度7_载荷1_点钟12,fault_level_5,风扇端_滚动体_深度7_载荷1_点钟12,,,,,,,,,,,,
21131,风扇端_滚动体_深度7_载荷2_点钟3,fault_level_5,风扇端_滚动体_深度7_载荷2_点钟3,,,,,,,,,,,,
,风扇端_滚动体_深度7_载荷2_点钟6,feature,风扇端_滚动体_深度7_载荷2_点钟6,,,,,,,,,,,,
,风扇端_滚动体_深度7_载荷2_点钟12,feature,风扇端_滚动体_深度7_载荷2_点钟12,,,,,,,,,,,,
,风扇端_滚动体_深度7_载荷3_点钟3,feature,风扇端_滚动体_深度7_载荷3_点钟3,,,,,,,,,,,,
,风扇端_滚动体_深度7_载荷3_点钟6,feature,风扇端_滚动体_深度7_载荷3_点钟6,,,,,,,,,,,,
,风扇端_滚动体_深度7_载荷3_点钟12,feature,风扇端_滚动体_深度7_载荷3_点钟12,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷0_点钟3,feature,风扇端_滚动体_深度14_载荷0_点钟3,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷0_点钟6,feature,风扇端_滚动体_深度14_载荷0_点钟6,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷0_点钟12,feature,风扇端_滚动体_深度14_载荷0_点钟12,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷1_点钟3,feature,风扇端_滚动体_深度14_载荷1_点钟3,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷1_点钟6,feature,风扇端_滚动体_深度14_载荷1_点钟6,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷1_点钟12,feature,风扇端_滚动体_深度14_载荷1_点钟12,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷2_点钟3,feature,风扇端_滚动体_深度14_载荷2_点钟3,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷2_点钟6,feature,风扇端_滚动体_深度14_载荷2_点钟6,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷2_点钟12,feature,风扇端_滚动体_深度14_载荷2_点钟12,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷3_点钟3,feature,风扇端_滚动体_深度14_载荷3_点钟3,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷3_点钟6,feature,风扇端_滚动体_深度14_载荷3_点钟6,,,,,,,,,,,,
,风扇端_滚动体_深度14_载荷3_点钟12,feature,风扇端_滚动体_深度14_载荷3_点钟12,,,,,,,,,,,,
,风扇端_滚动体_深度21_载荷0_点钟3,feature,风扇端_滚动体_深度21_载荷0_点钟3,,,,,,,,,,,,
,风扇端_滚动体_深度21_载荷0_点钟6,feature,风扇端_滚动体_深度21_载荷0_点钟6,,,,,,,,,,,,
,风扇端_滚动体_深度21_载荷0_点钟12,feature,风扇端_滚动体_深度21_载荷0_点钟12,,,,,,,,,,,,
,风扇端_滚动体_深度21_载荷1_点钟3,feature,风扇端_滚动体_深度21_载荷1_点钟3,,,,,,,,,,,,
